ARTIST,BIRTH DATA,PROFESSION,SCHOOL,URL
ALOISIO DA CARCANO,(active 1493-1516 in Russia),architect,Italian,https://www.wga.hu/bio/a/aloisio/biograph.html
"ALSLOOT, Denis van","(b. 1570, Bruxelles, d. 1628, Bruxelles)",painter,Flemish,https://www.wga.hu/bio/a/alsloot/biograph.html
"ALT, Rudolf von","(b. 1812, Wien, d. 1905, Wien)",painter,Austrian,https://www.wga.hu/bio/a/alt/biograph.html
"ALTDORFER, Albrecht","(b. ca. 1480, Regensburg, d. 1538, Regensburg)",painter,German,https://www.wga.hu/bio/a/altdorfe/biograph.html
"ALTENSTETTER, David","(b. ca. 1547, Colmar, d. 1617, Augsburg)",goldsmith,German,https://www.wga.hu/bio/a/altenste/biograph.html
ALTICHIERO da Zevio,"(b. ca. 1330, Zevio, d. ca. 1390, Verona)",painter,Italian,https://www.wga.hu/bio/a/altichie/biograph.html
"ALTISSIMO, Cristofano dell'","(b. ca. 1530, d. 1605, Firenze)",painter,Italian,https://www.wga.hu/bio/a/altissim/biograph.html
"ALTOBELLO, Francesco Antonio","(b. 1637, Barletta, d. after 1695)",painter,Italian,https://www.wga.hu/bio/a/altobell/biograph.html
"ALTOMONTE, Bartolomeo","(b. 1694. Warszawa, d. 1783, Markt St Florian)",painter,Austrian,https://www.wga.hu/bio/a/altomont/bartolom/biograph.html
"ALTOMONTE, Martino","(b. 1657, Napoli, d. 1745, Wien)",painter,Austrian,https://www.wga.hu/bio/a/altomont/martino/biograph.html
"ÁLVARES, Baltasar","(active 1570, died 1624)",architect,Portuguese,https://www.wga.hu/bio/a/alvares/biograph.html
"ÁLVAREZ Y CUBERO, José","(b. 1768, Priego de Córdoba, d. 1827, Madrid)",sculptor,Spanish,https://www.wga.hu/bio/a/alvarez/biograph.html
"AMADEO, Giovanni Antonio","(b. ca. 1447, Pavia, d. 1522, Milano)",architect,Italian,https://www.wga.hu/bio/a/amadeo/biograph.html
"AMBERGER, Christoph","(b. ca. 1505, Augsburg, d. 1562, Augsburg)",painter,German,https://www.wga.hu/bio/a/amberger/biograph.html
"AMEDEI, Giuliano","(b. ca. 1446, Firenze, d. 1496, Lucca)",illuminator,Italian,https://www.wga.hu/bio/a/amedei/biograph.html
"AMENDOLA, Giovanni Battista","(b. 1848, Episcopio di Sarno, d. 1887, Napoli)",sculptor,Italian,https://www.wga.hu/bio/a/amendola/biograph.html
"AMERLING, Friedrich von","(b. 1803, Wien, d. 1887, Wien)",painter,Austrian,https://www.wga.hu/bio/a/amerling/biograph.html
AMICO FRIULANO DEL DOSSO,(active 1510-1540 in northern Italy),painter,Italian,https://www.wga.hu/bio/a/amico/biograph.html
"AMIGONI, Jacopo","(b. 1682, Napoli, d. 1752, Madrid)",painter,Italian,https://www.wga.hu/bio/a/amigoni/biograph.html
"AMMAN, Jost","(b. 1539, Zürich, d. 1591, Nürnberg)",graphic artist,Swiss,https://www.wga.hu/bio/a/amman/biograph.html
"AMMANATI, Bartolomeo","(b. 1511, Settignano, d. 1592, Firenze)",architect,Italian,https://www.wga.hu/bio/a/ammanati/biograph.html
"AMSTEL, Jan van","(b. ca. 1500, Amsterdam, d. ca. 1542, Antwerpen)",painter,Netherlandish,https://www.wga.hu/bio/a/amstel/biograph.html
"ANCHER, Anna Kirstine","(b. 1859, Skagen, d. 1935, Skagen)",painter,Danish,https://www.wga.hu/bio/a/ancher/anna/biograph.html
"ANCHER, Michael Peter","(b. 1849, Rutsker, d. 1927, Skagen)",painter,Danish,https://www.wga.hu/bio/a/ancher/michael/biograph.html
"ANCONA, Vito d'","(b. 1825, Pesaro, d. 1884, Firenze)",painter,Italian,https://www.wga.hu/bio/a/ancona/biograph.html
"ANDERSON, William","(b. 1757, Scotland, d. 1837, London)",painter,Scottish,https://www.wga.hu/bio/a/anderson/biograph.html
"ANDRÉ, Émile","(b. 1871, Nancy, d. 1933, Nancy)",architect,French,https://www.wga.hu/bio/a/andre/biograph.html
ANDREA DA FIRENZE,"(active 1343-1377, Firenze)",painter,Italian,https://www.wga.hu/bio/a/andrea/firenze/biograph.html
ANDREA DA MURANO,(known 1462-1502),painter,Italian,https://www.wga.hu/bio/a/andrea/murano/biograph.html
ANDREA DEL CASTAGNO,"(b. 1423, Castagno, d. 1457, Firenze)",painter,Italian,https://www.wga.hu/bio/a/andrea/castagno/biograph.html
ANDREA DEL SARTO,"(b. 1486, Firenze, d. 1530, Firenze)",painter,Italian,https://www.wga.hu/bio/a/andrea/sarto/biograph.html
ANDREA DI BARTOLO,"(b. 1360/70, Siena, d. 1428, Siena)",painter,Italian,https://www.wga.hu/bio/a/andrea/bartolo/biograph.html
ANDREA DI JACOPO D'OGNABENE,(active 1286-1317),goldsmith,Italian,https://www.wga.hu/bio/a/andrea/jacopo/biograph.html
ANDREA DI NERIO,"(active 1350s, Arezzo, d. before 1387)",painter,Italian,https://www.wga.hu/bio/a/andrea/nerio/biograph.html
ANDREA di Vanni d'Andrea,"(b. ca. 1332, Siena, d. 1414, Siena)",painter,Italian,https://www.wga.hu/bio/a/andrea/vanni/biograph.html
"ANDREANI, Andrea","(b. ca. 1558, Mantova, d. ca. 1629, Mantova)",graphic artist,Italian,https://www.wga.hu/bio/a/andreani/biograph.html
"ANDREESCU, Ion","(b. 1850, Bucureşti, d. 1882, Bucureşti)",painter,Other,https://www.wga.hu/bio/a/andreesc/biograph.html
"ANDREOLI, Giorgio","(b. ca. 1465, Intra, d. 1553, Gubbio)",potter,Italian,https://www.wga.hu/bio/a/andreoli/biograph.html
"ANDRIESSEN, Hendrick","(b. 1607, Antwerpen, d. 1655, Antwerpen)",painter,Flemish,https://www.wga.hu/bio/a/andries/biograph.html
"ANDRIESSEN, Jurriaan","(b. 1742, Amsterdam, d. 1819, Amsterdam)",painter,Dutch,https://www.wga.hu/bio/a/andriess/biograph.html
"ANDROUET DU CERCEAU, Jacques the Elder","(b. ca. 1515, ?, d. 1584, Annecy)",graphic artist,French,https://www.wga.hu/bio/a/androuet/jacques/biograph.html
"ANDROUET DU CERCEAU, Jean","(b. ca. 1585, Paris, d. 1649, Paris)",architect,French,https://www.wga.hu/bio/a/androuet/jean/biograph.html
"ANESI, Paolo","(b. 1697, Roma, d. 1773, Roma)",painter,Italian,https://www.wga.hu/bio/a/anesi/biograph.html
"ANGEL, Pedro",(active 1583-1617 in Toledo),graphic artist,Spanish,https://www.wga.hu/bio/a/angel/biograph.html
"ANGELI, Giuseppe","(b. 1712, Venezia, d. 1798, Venezia)",painter,Italian,https://www.wga.hu/bio/a/angeli/biograph.html
